Item ID,Custom Label,Product ID Type,Product ID Value,Product ID Value 2,Quantity Available,Purchases,Bids,Price,Start Date,End Date,Condition,Type,Item Title,Category Leaf Name,Category Number,Private Notes,Site Listed,Download Date,Variation Details,Product Reference ID,Condition ID,OutOfStockControl
141141769025,,BrandMPN,Acer,LX.PY902.035,1,0,,$61.03,Dec-14-13,,"For parts or not working",9,"Black Acer Aspire 7741Z-5731 17.3"" Laptop Bad LCD No Power 168","PC Laptops & Netbooks",177,,0,"Jan-10-14 17:54:08 PST",,133448795,7000,false
130950387631,"DELL 45",BrandMPN,Dell,MM599,2,10,,$21.78,Jul-18-13,,Used,9,"Delll Optitlex 745 Desktop Motherboard MM599 Tested+ Warranty",Motherboards,1244,,0,"Jan-10-14 17:54:08 PST",,97043661,3000,false
140937981569,,,,,1,0,,$22.00,Mar-20-13,,Used,9,"Genuine Liteon PS-5141-4 Computer Power Supply 145W","Power Supplies",42017,,0,"Jan-10-14 17:54:08 PST",,,3000,false
141142081584,,,,,1,0,,$425.00,Dec-15-13,,"For parts or not working",9,"LOT OF 200 2.5  2.5"" IDE/ATA Laptop Hard drive Tested BAD FOR PARTS Gold Scrap","Internal Hard Disk Drives",56083,,0,"Jan-10-14 17:54:08 PST",,,7000,false
141092258587,,UPC,088698205556,,2,2,,$39.99,Oct-16-13,,Used,9,"HP 3.5"" 9.1GB 68 Pin SCSI Hard Drive P/N: D4911A D4911-63001 D4911-60001","Internal Hard Disk Drives",56083,,0,"Jan-10-14 17:54:08 PST",,82743379,3000,false
131021912733,,UPC,102645845487,,1,0,,$49.99,Oct-16-13,,Used,9,"IBM 3.5"" 10K 18GB 68 Pin SCSI Hard Drive PN 09L3905","Internal Hard Disk Drives",56083,,0,"Jan-10-14 17:54:08 PST",,69773490,3000,false
141092321148,,UPC,102646169735,,2,0,,$29.99,Oct-16-13,,Used,9,"Quantum 3.5"" 18.3GB 68 Pin SCSI Hard Drive XC18L011-02-C","Internal Hard Disk Drives",56083,,0,"Jan-10-14 17:54:08 PST",,69760536,3000,false
141142281193,,BrandMPN,AMD,ADAFX62IAA6CS,1,2,,$49.99,Dec-15-13,,Used,9,"AMD Athlon 64 FX 62 2.8GHZ ADAFX62IAA6CS Socket AM2 AM2+ DUAL CORE CPU PROCESSOR","CPUs, Processors",164,,0,"Jan-10-14 17:54:08 PST",,74033514,3000,false
141019412261,H11,,,,5,0,,$22.50,Jul-18-13,,Used,9,"DELTA 110W POWER SUPPLY DPS-110MB-1 A HP 0950-3426 TESTED + WARRANTY","Power Supplies",42017,,0,"Jan-10-14 17:54:08 PST",,,3000,false
141019412666,,,,,1,0,,$26.95,Jul-18-13,,Used,9,"DELTA 125W POWER SUPPLY DPS-125FB A DELL 78WUH 753752-007 TESTED + WARRANTY","Power Supplies",42017,,0,"Jan-10-14 17:54:08 PST",,,3000,false
